åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,4,20,-4.327476,1.902279,0.000000,0.936240,-1.359707,1.761784,100815.719734,0.656820,2.207227,315.000000,-34.689654,270.239887,0.000000,0.000000,0.129738
1,4,21,-4.498933,1.966500,0.000000,0.946636,-1.181198,1.743133,100823.935241,0.702592,2.067814,315.000000,-45.558721,281.523874,0.000000,0.000000,0.116625
1,4,22,-5.090222,1.992587,0.000000,0.968260,-0.792558,0.875357,100879.095267,0.716762,1.179394,315.000000,-55.895134,296.264048,0.000000,0.000000,0.085671
1,4,23,-6.165938,1.993135,0.000000,0.955371,-0.310821,-0.401534,100887.495346,0.707516,0.503711,45.000000,-64.598532,318.390117,0.000000,0.000000,0.081744
1,5,0,-6.534761,1.891760,0.000000,0.951709,0.088681,0.299419,100876.264597,1.087378,0.310564,247.500000,-69.103796,243.815616,0.000000,0.000000,0.079687
1,5,1,-6.689951,1.818284,0.000000,0.924797,0.034848,0.873830,100918.735856,0.864748,0.873830,270.000000,-67.120712,28.830788,0.000000,0.000000,0.104200
1,5,2,-6.717600,1.708105,0.000000,0.880753,0.065715,1.373147,101007.626272,0.529097,1.373147,270.000000,-59.750930,55.564691,0.000000,0.000000,0.147816
1,5,3,-6.819464,1.396053,0.000000,0.792288,-0.047365,2.348510,101065.227221,0.205783,2.348510,270.000000,-49.913985,72.782438,0.000000,0.000000,0.234710
1,5,4,-6.886299,1.341748,0.000000,0.741403,0.072056,2.552433,101050.631884,0.051880,2.552433,270.000000,-39.189821,85.200221,0.000000,0.000000,0.284564
1,5,5,-6.725283,1.361193,0.000000,0.755641,0.105310,2.550710,101136.765203,0.067687,2.550710,270.000000,-28.261173,95.476399,0.000000,0.000000,0.272810
1,5,6,-6.432642,1.297016,0.000000,0.782328,0.147317,2.520317,101133.510411,0.117906,2.520317,270.000000,-17.502243,104.959872,0.000000,0.000000,0.250649
1,5,7,-5.972344,1.498688,0.000000,0.770560,0.126044,2.542184,101213.791145,0.140220,2.542184,270.000000,-7.207500,114.448882,0.000000,0.000000,0.269566
1,5,8,-5.705100,1.593151,0.071900,0.740588,0.301173,2.403867,101232.295184,0.106082,2.403867,270.000000,2.313723,124.515222,0.000000,0.071900,0.303706
