ì˙ït,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2012/1/13 12:00,6.6,45,,0,,4.9,êºìÏêº,,0.358646543,
2012/1/13 13:00,7.1,45,,0,,5.5,êºìÏêº,,0.280245546,
2012/1/13 14:00,8.6,37,,0,,5,êºìÏêº,,0.327806087,
2012/1/13 15:00,7.6,41,,0,,5.8,êºìÏêº,,0.296979143,
2012/1/13 16:00,7.3,45,,0,,6.1,êºìÏêº,,0.126603221,
2012/1/13 17:00,6.9,46,,0,,6.1,êº,,1.00E-50,
2012/1/13 18:00,6.5,50,,0,,5.4,êºñkêº,,1.00E-50,
2012/1/13 19:00,6.7,50,,0,,5,êºñkêº,,1.00E-50,
2012/1/13 20:00,5.5,52,,0,,6,êº,,1.00E-50,
2012/1/13 21:00,5.5,55,,0,,4.8,êºñkêº,,1.00E-50,
2012/1/13 22:00,5.5,57,,0,,5.9,êº,,1.00E-50,
2012/1/13 23:00,5.7,54,,0,,5.1,êº,,1.00E-50,
2012/1/14 0:00,5.5,56,,0,,5,êº,,1.00E-50,
2012/1/14 1:00,5.7,56,,0,,5.1,êº,,1.00E-50,
2012/1/14 2:00,5.1,57,,0,,3.7,êºñkêº,,1.00E-50,
2012/1/14 3:00,5.5,57,,0,,5.3,êº,,1.00E-50,
2012/1/14 4:00,4,65,,0,,3.8,êºñkêº,,1.00E-50,
2012/1/14 5:00,3.3,68,,0,,2.8,êº,,1.00E-50,
2012/1/14 6:00,2.9,71,,0,,2.5,êºñkêº,,1.00E-50,
2012/1/14 7:00,2.4,72,,0,,1.6,ñk,,0.784937943,
2012/1/14 8:00,3.4,69,,0,,1.3,ñkêº,,0.650560213,
2012/1/14 9:00,4.8,65,,0,,0.4,ñk,,0.596265155,
2012/1/14 10:00,7.5,54,,0,,0.6,ìÏìÏìå,,0.635600187,
2012/1/14 11:00,9.5,46,,0,,1.4,ñkêº,,0.435567732,
2012/1/14 12:00,9.5,48,,0,,2.8,ñkêº,,0.38583535,
2012/1/14 13:00,10,47,,0,,1,ñkêº,,0.355893743,
2012/1/14 14:00,10,48,,0,,2.3,êºìÏêº,,0.336801155,
2012/1/14 15:00,10.1,46,,0,,4,êºìÏêº,,0.365023949,
2012/1/14 16:00,9.3,48,,0,,4.2,êº,,0.601527363,
2012/1/14 17:00,8.5,49,,0,,2.4,êº,,1.00E-50,
2012/1/14 18:00,7.5,53,,0,,2.2,êºñkêº,,1.00E-50,
2012/1/14 19:00,7.3,55,,0,,2.1,ñkñkêº,,1.00E-50,
2012/1/14 20:00,7.1,56,,0,,1.4,ñk,,1.00E-50,
2012/1/14 21:00,6.8,54,,0,,1.2,ñkìå,,1.00E-50,
2012/1/14 22:00,6.7,53,,0,,0.8,ñkñkêº,,1.00E-50,
