ì˙éû,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2022/1/8 23:00,6.8,84,,1.2,,0.8,ñkñkêº,,1.0e-50,
2022/1/9 0:00,6.4,84,,0.4,,1.2,ñkêº,,1.0e-50,
2022/1/9 1:00,6.2,81,,0.1,,1.2,êº,,1.0e-50,
2022/1/9 2:00,6.1,83,,0.0,,1.3,êº,,1.0e-50,
2022/1/9 3:00,6.0,83,,0.0,,1.3,êº,,1.0e-50,
2022/1/9 4:00,6.0,84,,0.0,,1.7,êº,,1.0e-50,
2022/1/9 5:00,6.2,81,,0.0,,1.8,êºñkêº,,1.0e-50,
2022/1/9 6:00,5.7,82,,0.0,,1.6,êºñkêº,,1.0e-50,
2022/1/9 7:00,5.7,79,,0.1,,1.9,ñkêº,,1.0e-50,
2022/1/9 8:00,5.6,77,,0.1,,1.6,ñkêº,,0.01,
2022/1/9 9:00,6.5,71,,0.0,,1.3,ñkñkêº,,0.01,
2022/1/9 10:00,8.0,62,,0.0,,2.3,êºñkêº,,0.01,
2022/1/9 11:00,8.2,62,,0.0,,3.9,êºñkêº,,0.01,
2022/1/9 12:00,8.5,58,,0.5,,4.1,êºñkêº,,0.01,
2022/1/9 13:00,6.6,67,,0.6,,4.4,ñkêº,,0.01,
2022/1/9 14:00,6.9,55,,0.3,,4.9,ñkñkêº,,0.01,
2022/1/9 15:00,6.2,57,,0.1,,4.2,ñk,,0.01,
2022/1/9 16:00,5.5,56,,0.0,,4.1,ñk,,0.01,
2022/1/9 17:00,4.4,59,,0.1,,4.1,ñk,,0.01,
2022/1/9 18:00,3.6,65,,0.1,,2.6,ñk,,1.0e-50,
2022/1/9 19:00,3.1,68,,0.3,,2.5,ñk,,1.0e-50,
2022/1/9 20:00,2.8,64,,0.2,,2.5,ñk,,1.0e-50,
2022/1/9 21:00,2.2,67,,0.1,,1.8,ñk,,1.0e-50,
2022/1/9 22:00,1.8,69,,0.2,,1.8,ñk,,1.0e-50,
2022/1/9 23:00,1.5,68,,0.2,,1.9,ñk,,1.0e-50,
2022/1/10 0:00,0.9,70,,0.1,,1.2,ñkñkêº,,1.0e-50,
2022/1/10 1:00,0.6,71,,0.1,,1.1,ñkêº,,1.0e-50,
2022/1/10 2:00,0.4,73,,0.1,,1.1,ñkñkêº,,1.0e-50,
2022/1/10 3:00,0.1,76,,0.0,,0.9,êºñkêº,,1.0e-50,
2022/1/10 4:00,-0.3,79,,0.0,,1.1,ñkêº,,1.0e-50,
2022/1/10 5:00,-0.4,78,,0.0,,1.4,ñkêº,,1.0e-50,
2022/1/10 6:00,-0.7,78,,0.0,,1.7,êºñkêº,,1.0e-50,
2022/1/10 7:00,-0.9,78,,0.0,,1.8,êºñkêº,,1.0e-50,
2022/1/10 8:00,-0.5,76,,0.0,,1.9,êºñkêº,,0.01,
2022/1/10 9:00,0.7,68,,0.0,,2.5,êºñkêº,,0.01,
2022/1/10 10:00,2.0,61,,0.0,,2.6,êºñkêº,,0.01,
2022/1/10 11:00,2.8,56,,0.0,,2.7,êºñkêº,,0.01,
2022/1/10 12:00,3.5,49,,0.0,,2.9,êºñkêº,,0.01,
2022/1/10 13:00,4.1,44,,0.0,,3.3,êºñkêº,,0.01,
2022/1/10 14:00,4.4,45,,0.0,,3.4,êºñkêº,,0.01,
2022/1/10 15:00,4.4,44,,0.0,,3.1,êºñkêº,,0.01,
2022/1/10 16:00,4.0,51,,0.0,,3.1,êºñkêº,,0.01,
2022/1/10 17:00,3.3,57,,0.0,,1.9,êºñkêº,,0.01,
2022/1/10 18:00,2.6,62,,0.0,,1.3,êº,,1.0e-50,
2022/1/10 19:00,2.0,66,,0.0,,1.3,êº,,1.0e-50,
2022/1/10 20:00,1.4,68,,0.0,,1.2,êº,,1.0e-50,
2022/1/10 21:00,0.9,71,,0.0,,1.4,êº,,1.0e-50,
2022/1/10 22:00,0.7,67,,0.0,,1.2,êº,,1.0e-50,
2022/1/10 23:00,0.6,62,,0.0,,1.4,êº,,1.0e-50,
2022/1/11 0:00,0.2,63,,0.0,,1.5,êºñkêº,,1.0e-50,
2022/1/11 1:00,-0.1,64,,0.0,,1.4,êºñkêº,,1.0e-50,
2022/1/11 2:00,-0.3,63,,0.0,,1.3,êºìÏêº,,1.0e-50,
2022/1/11 3:00,-0.7,64,,0.0,,1.3,êº,,1.0e-50,
2022/1/11 4:00,-1.2,65,,0.0,,1.0,êºìÏêº,,1.0e-50,
2022/1/11 5:00,-1.6,66,,0.0,,0.9,êºìÏêº,,1.0e-50,
2022/1/11 6:00,-1.7,68,,0.0,,0.8,êºìÏêº,,1.0e-50,
2022/1/11 7:00,-1.8,68,,0.0,,0.6,êºìÏêº,,1.0e-50,
2022/1/11 8:00,-1.1,68,,0.0,,0.5,ìÏêº,,0.01,
2022/1/11 9:00,0.7,62,,0.0,,1.2,êºìÏêº,,0.01,
2022/1/11 10:00,3.1,54,,0.0,,2.0,êºìÏêº,,0.01,
2022/1/11 11:00,4.9,47,,0.0,,2.3,êº,,0.01,
2022/1/11 12:00,5.5,46,,0.0,,2.7,êºñkêº,,0.01,
2022/1/11 13:00,6.2,44,,0.0,,3.0,êºñkêº,,0.01,
2022/1/11 14:00,6.6,45,,0.0,,3.3,êºñkêº,,0.01,
2022/1/11 15:00,6.8,44,,0.0,,3.3,ñkêº,,0.01,
2022/1/11 16:00,6.2,49,,0.0,,3.1,ñkêº,,0.01,
2022/1/11 17:00,5.2,59,,0.0,,2.2,ñkêº,,0.01,
2022/1/11 18:00,4.1,65,,0.0,,1.2,êºñkêº,,1.0e-50,
2022/1/11 19:00,3.3,71,,0.0,,1.2,êºñkêº,,1.0e-50,
2022/1/11 20:00,2.9,75,,0.0,,1.2,êºñkêº,,1.0e-50,
2022/1/11 21:00,2.7,77,,0.0,,1.0,êºñkêº,,1.0e-50,
2022/1/11 22:00,2.9,75,,0.0,,1.0,êºñkêº,,1.0e-50,
2022/1/11 23:00,2.5,75,,0.0,,0.6,ñkêº,,1.0e-50,
2022/1/12 0:00,1.8,73,,0.0,,0.9,ñkêº,,1.0e-50,
2022/1/12 1:00,1.4,71,,0.0,,0.5,êºñkêº,,1.0e-50,
